# dir.des.scop.txt 
# SCOP release 1.69 (July 2005)  [File format version 1.00]
# http://scop.mrc-lmb.cam.ac.uk/scop/
# Copyright (c) 1994-2005 the scop authors; see http://scop.mrc-lmb.cam.ac.uk/scop/lic/copy.html
46456	cl	a	-	All alpha proteins
17191	px	a.39.1.3	d1nuba1	1nub A:136-286
17192	px	a.39.1.3	d1nubb1	1nub B:136-286
17193	px	a.39.1.3	d1bmoa1	1bmo A:136-286
17194	px	a.39.1.3	d1bmob1	1bmo B:136-286
47492	fa	a.39.1.4	-	Parvalbumin
47493	dm	a.39.1.4	-	Oncomodulin
47494	sp	a.39.1.4	-	Rat (Rattus norvegicus)
17195	px	a.39.1.4	d1rro__	1rro -
17196	px	a.39.1.4	d1omd__	1omd -
47495	dm	a.39.1.4	-	Parvalbumin
47496	sp	a.39.1.4	-	Carp (Cyprinus carpio)
17197	px	a.39.1.4	d1cdp__	1cdp -
17198	px	a.39.1.4	d4cpv__	4cpv -
17199	px	a.39.1.4	d1b8la_	1b8l A:
17200	px	a.39.1.4	d5cpv__	5cpv -
17201	px	a.39.1.4	d1b8ra_	1b8r A:
17202	px	a.39.1.4	d1b8ca_	1b8c A:
17203	px	a.39.1.4	d1b8cb_	1b8c B:
17204	px	a.39.1.4	d1b9aa_	1b9a A:
47497	sp	a.39.1.4	-	Pike (Esox lucius)
17205	px	a.39.1.4	d2pvba_	2pvb A:
17206	px	a.39.1.4	d1pvb__	1pvb -
17207	px	a.39.1.4	d1pvaa_	1pva A:
17208	px	a.39.1.4	d1pvab_	1pva B:
17209	px	a.39.1.4	d1pal__	1pal -
17211	px	a.39.1.4	d2pal__	2pal -
17210	px	a.39.1.4	d4pal__	4pal -
17212	px	a.39.1.4	d3pal__	3pal -
17214	px	a.39.1.4	d3pat__	3pat -
17213	px	a.39.1.4	d2pas__	2pas -
47498	sp	a.39.1.4	-	Leopard shark (Triakis semifasciata)
17215	px	a.39.1.4	d5pal__	5pal -
47499	sp	a.39.1.4	-	Whiting (Merlangius merlangus)
17216	px	a.39.1.4	d1a75a_	1a75 A:
17217	px	a.39.1.4	d1a75b_	1a75 B:
47500	sp	a.39.1.4	-	Silver hake (Merluccius bilinearis)
17218	px	a.39.1.4	d1bu3__	1bu3 -
47501	sp	a.39.1.4	-	Rat (Rattus rattus)
98002	px	a.39.1.4	d1rwya_	1rwy A:
98003	px	a.39.1.4	d1rwyb_	1rwy B:
98004	px	a.39.1.4	d1rwyc_	1rwy C:
65121	px	a.39.1.4	d1g33a_	1g33 A:
105249	px	a.39.1.4	d1s3pa_	1s3p A:
17219	px	a.39.1.4	d1rtp1_	1rtp 1:
17220	px	a.39.1.4	d1rtp2_	1rtp 2:
17221	px	a.39.1.4	d1rtp3_	1rtp 3:
109818	sp	a.39.1.4	-	Human (Homo sapiens)
104964	px	a.39.1.4	d1rjva_	1rjv A:
104965	px	a.39.1.4	d1rk9a_	1rk9 A:
47502	fa	a.39.1.5	-	Calmodulin-like
47503	dm	a.39.1.5	-	Troponin C
47504	sp	a.39.1.5	-	Chicken (Gallus gallus)
17223	px	a.39.1.5	d1top__	1top -
17222	px	a.39.1.5	d1ncx__	1ncx -
17224	px	a.39.1.5	d1ncz__	1ncz -
17225	px	a.39.1.5	d1ncy__	1ncy -
17226	px	a.39.1.5	d1avsa_	1avs A:
17227	px	a.39.1.5	d1avsb_	1avs B:
17228	px	a.39.1.5	d4tnc__	4tnc -
17229	px	a.39.1.5	d1dtla_	1dtl A:
17232	px	a.39.1.5	d1ctaa_	1cta A:
17233	px	a.39.1.5	d1ctab_	1cta B:
17230	px	a.39.1.5	d1ctda_	1ctd A:
17231	px	a.39.1.5	d1ctdb_	1ctd B:
17234	px	a.39.1.5	d1smg__	1smg -
17237	px	a.39.1.5	d1tnx__	1tnx -
17244	px	a.39.1.5	d1aj4__	1aj4 -
17236	px	a.39.1.5	d1zac__	1zac -
17245	px	a.39.1.5	d1tnq__	1tnq -
77864	px	a.39.1.5	d1la0a_	1la0 A:
17243	px	a.39.1.5	d1skt__	1skt -
17241	px	a.39.1.5	d3ctn__	3ctn -
17242	px	a.39.1.5	d2ctn__	2ctn -
62862	px	a.39.1.5	d1jc2a_	1jc2 A:
85983	px	a.39.1.5	d1npqa_	1npq A:
17239	px	a.39.1.5	d1pon.1	1pon A:,B:
17235	px	a.39.1.5	d1tnw__	1tnw -
17238	px	a.39.1.5	d1tnp__	1tnp -
17240	px	a.39.1.5	d1blq__	1blq -
47505	sp	a.39.1.5	-	Turkey (Meleagris gallopavo)
17246	px	a.39.1.5	d5tnc__	5tnc -
17247	px	a.39.1.5	d1trf__	1trf -
47506	sp	a.39.1.5	-	Rabbit (Oryctolagus cuniculus)
17248	px	a.39.1.5	d1tn4__	1tn4 -
17249	px	a.39.1.5	d2tn4__	2tn4 -
17250	px	a.39.1.5	d1tcf__	1tcf -
17251	px	a.39.1.5	d1a2xa_	1a2x A:
47507	sp	a.39.1.5	-	Chicken (Gallus gallus), cardiac isoform
17252	px	a.39.1.5	d1fi5a_	1fi5 A:
47508	sp	a.39.1.5	-	Human (Homo sapiens), cardiac isoform
83963	px	a.39.1.5	d1j1da_	1j1d A:
83966	px	a.39.1.5	d1j1dd_	1j1d D:
83969	px	a.39.1.5	d1j1ea_	1j1e A:
83972	px	a.39.1.5	d1j1ed_	1j1e D:
93857	px	a.39.1.5	d1ozsa_	1ozs A:
66140	px	a.39.1.5	d1ih0a_	1ih0 A:
17254	px	a.39.1.5	d1spy__	1spy -
78292	px	a.39.1.5	d1lxfc_	1lxf C:
17255	px	a.39.1.5	d1mxlc_	1mxl C:
17253	px	a.39.1.5	d1ap4__	1ap4 -
109819	sp	a.39.1.5	-	Rainbow trout (Oncorhynchus mykiss)
104822	px	a.39.1.5	d1r6pa_	1r6p A:
104783	px	a.39.1.5	d1r2ua_	1r2u A:
47509	dm	a.39.1.5	-	Sarcoplasmic calcium-binding protein
47510	sp	a.39.1.5	-	Sandworm (Nereis diversicolor)
17256	px	a.39.1.5	d2scpa_	2scp A:
17257	px	a.39.1.5	d2scpb_	2scp B:
104553	px	a.39.1.5	d1q80a_	1q80 A:
47511	sp	a.39.1.5	-	Amphioxus (Branchiostoma lanceolatum)
17258	px	a.39.1.5	d2sas__	2sas -
47514	dm	a.39.1.5	-	Calcium vector protein
47515	sp	a.39.1.5	-	Amphioxus (Branchiostoma lanceolatum)
17262	px	a.39.1.5	d1c7va_	1c7v A:
17261	px	a.39.1.5	d1c7wa_	1c7w A:
62700	px	a.39.1.5	d1j7qa_	1j7q A:
62701	px	a.39.1.5	d1j7ra_	1j7r A:
47512	dm	a.39.1.5	-	Calcium-regulated photoprotein
47513	sp	a.39.1.5	-	Jellyfish (Aequorea aequorea), aequorin
17259	px	a.39.1.5	d1ej3a_	1ej3 A:
17260	px	a.39.1.5	d1ej3b_	1ej3 B:
63541	sp	a.39.1.5	-	Hydrozoa (Obelia longissima), obelin
96346	px	a.39.1.5	d1qv0a_	1qv0 A:
96347	px	a.39.1.5	d1qv1a_	1qv1 A:
59453	px	a.39.1.5	d1el4a_	1el4 A:
62930	px	a.39.1.5	d1jf2a_	1jf2 A:
63542	sp	a.39.1.5	-	Hydrozoa (Obelia geniculata), obelin
62926	px	a.39.1.5	d1jf0a_	1jf0 A:
101179	dm	a.39.1.5	-	Calerythrin
101180	sp	a.39.1.5	-	Saccharopolyspora erythraea
92335	px	a.39.1.5	d1nyaa_	1nya A:
69021	dm	a.39.1.5	-	EHCABP
69022	sp	a.39.1.5	-	Entamoeba (Entamoeba histolytica)
66639	px	a.39.1.5	d1jfka_	1jfk A:
66638	px	a.39.1.5	d1jfja_	1jfj A:
47516	dm	a.39.1.5	-	Calmodulin
47517	sp	a.39.1.5	-	Human (Homo sapiens)
17263	px	a.39.1.5	d1cll__	1cll -
83761	px	a.39.1.5	d1iwqa_	1iwq A:
91054	px	a.39.1.5	d1l7za_	1l7z A:
68322	px	a.39.1.5	d1k90d_	1k90 D:
68323	px	a.39.1.5	d1k90e_	1k90 E:
68324	px	a.39.1.5	d1k90f_	1k90 F:
17264	px	a.39.1.5	d1ctr__	1ctr -
98370	px	a.39.1.5	d1s26d_	1s26 D:
98371	px	a.39.1.5	d1s26e_	1s26 E:
98372	px	a.39.1.5	d1s26f_	1s26 F:
94798	px	a.39.1.5	d1pk0d_	1pk0 D:
94799	px	a.39.1.5	d1pk0e_	1pk0 E:
94800	px	a.39.1.5	d1pk0f_	1pk0 F:
105668	px	a.39.1.5	d1sk6d_	1sk6 D:
105669	px	a.39.1.5	d1sk6e_	1sk6 E:
105670	px	a.39.1.5	d1sk6f_	1sk6 F:
68330	px	a.39.1.5	d1k93d_	1k93 D:
68331	px	a.39.1.5	d1k93e_	1k93 E:
68332	px	a.39.1.5	d1k93f_	1k93 F:
78239	px	a.39.1.5	d1lvcd_	1lvc D:
78240	px	a.39.1.5	d1lvce_	1lvc E:
78241	px	a.39.1.5	d1lvcf_	1lvc F:
99022	px	a.39.1.5	d1sw8a_	1sw8 A:
47518	sp	a.39.1.5	-	Cow (Bos taurus)
17265	px	a.39.1.5	d1lin__	1lin -
17270	px	a.39.1.5	d1cdma_	1cdm A:
17271	px	a.39.1.5	d1cm1a_	1cm1 A:
17272	px	a.39.1.5	d1cdla_	1cdl A:
17273	px	a.39.1.5	d1cdlb_	1cdl B:
17274	px	a.39.1.5	d1cdlc_	1cdl C:
17275	px	a.39.1.5	d1cdld_	1cdl D:
17266	px	a.39.1.5	d1cm4a_	1cm4 A:
17267	px	a.39.1.5	d1cm4c_	1cm4 C:
17268	px	a.39.1.5	d1cm4e_	1cm4 E:
17269	px	a.39.1.5	d1cm4g_	1cm4 G:
17276	px	a.39.1.5	d1a29__	1a29 -
17277	px	a.39.1.5	d1qiwa_	1qiw A:
17278	px	a.39.1.5	d1qiwb_	1qiw B:
17279	px	a.39.1.5	d1qiva_	1qiv A:
17281	px	a.39.1.5	d1ak8__	1ak8 -
95062	px	a.39.1.5	d1prwa_	1prw A:
60056	px	a.39.1.5	d1fw4a_	1fw4 A:
66415	px	a.39.1.5	d1j7oa_	1j7o A:
66416	px	a.39.1.5	d1j7pa_	1j7p A:
17282	px	a.39.1.5	d1cmg__	1cmg -
17283	px	a.39.1.5	d1cmf__	1cmf -
17280	px	a.39.1.5	d1deg__	1deg -
47519	sp	a.39.1.5	-	Rat (Rattus rattus)
60252	px	a.39.1.5	d1g4yr_	1g4y R:
80537	px	a.39.1.5	d1niwa_	1niw A:
80538	px	a.39.1.5	d1niwc_	1niw C:
80539	px	a.39.1.5	d1niwe_	1niw E:
80540	px	a.39.1.5	d1niwg_	1niw G:
17286	px	a.39.1.5	d3cln__	3cln -
104628	px	a.39.1.5	d1qx5b_	1qx5 B:
104629	px	a.39.1.5	d1qx5d_	1qx5 D:
104630	px	a.39.1.5	d1qx5i_	1qx5 I:
104631	px	a.39.1.5	d1qx5j_	1qx5 J:
104632	px	a.39.1.5	d1qx5k_	1qx5 K:
104633	px	a.39.1.5	d1qx5r_	1qx5 R:
104634	px	a.39.1.5	d1qx5t_	1qx5 T:
104635	px	a.39.1.5	d1qx5y_	1qx5 Y:
104636	px	a.39.1.5	d1qx7a_	1qx7 A:
104637	px	a.39.1.5	d1qx7b_	1qx7 B:
104638	px	a.39.1.5	d1qx7i_	1qx7 I:
104639	px	a.39.1.5	d1qx7m_	1qx7 M:
104640	px	a.39.1.5	d1qx7r_	1qx7 R:
47520	sp	a.39.1.5	-	Chicken (Gallus gallus)
17287	px	a.39.1.5	d1ahr__	1ahr -
47521	sp	a.39.1.5	-	African frog (Xenopus laevis)
62643	px	a.39.1.5	d1iq5a_	1iq5 A:
17289	px	a.39.1.5	d1f71a_	1f71 A:
86297	px	a.39.1.5	d1nwda_	1nwd A:
17290	px	a.39.1.5	d1cfc__	1cfc -
17291	px	a.39.1.5	d1cfd__	1cfd -
17294	px	a.39.1.5	d1ckka_	1ckk A:
17288	px	a.39.1.5	d1f70a_	1f70 A:
17295	px	a.39.1.5	d1cffa_	1cff A:
17293	px	a.39.1.5	d1dmo__	1dmo -
17292	px	a.39.1.5	d1mux__	1mux -
47522	sp	a.39.1.5	-	Drosophila melanogaster
79644	px	a.39.1.5	d1mxea_	1mxe A:
79645	px	a.39.1.5	d1mxeb_	1mxe B:
17296	px	a.39.1.5	d4cln__	4cln -
17297	px	a.39.1.5	d2bbma_	2bbm A:
17298	px	a.39.1.5	d2bbna_	2bbn A:
89051	sp	a.39.1.5	-	Nematode (Caenorhabditis elegans)
87198	px	a.39.1.5	d1ooja_	1ooj A:
89052	sp	a.39.1.5	-	Baker's yeast (Saccharomyces cerevisiae)
84623	px	a.39.1.5	d1lkja_	1lkj A:
83244	px	a.39.1.5	d1f54a_	1f54 A:
83245	px	a.39.1.5	d1f55a_	1f55 A:
47523	sp	a.39.1.5	-	Ciliate (Paramecium tetraurelia)
17299	px	a.39.1.5	d1exra_	1exr A:
17300	px	a.39.1.5	d1osa__	1osa -
91536	px	a.39.1.5	d1n0ya_	1n0y A:
91537	px	a.39.1.5	d1n0yb_	1n0y B:
17301	px	a.39.1.5	d1clm__	1clm -
109820	sp	a.39.1.5	-	Potato (Solanum tuberosum)
104918	px	a.39.1.5	d1rfja_	1rfj A:
74721	dm	a.39.1.5	-	Calmodulin-related protein NB-1 (CLP)
74722	sp	a.39.1.5	-	Human (Homo sapiens)
70176	px	a.39.1.5	d1ggza_	1ggz A:
89053	dm	a.39.1.5	-	Caltractin (centrin 2)
89054	sp	a.39.1.5	-	Human (Homo sapiens)
84782	px	a.39.1.5	d1m39a_	1m39 A:
89055	sp	a.39.1.5	-	Green algae (Chlamydomonas reinhardtii)
87319	px	a.39.1.5	d1oqpa_	1oqp A:
63543	dm	a.39.1.5	-	Cdc4p
63544	sp	a.39.1.5	-	Fission yeast (Schizosaccharomyces pombe)
60490	px	a.39.1.5	d1ggwa_	1ggw A:
81756	dm	a.39.1.5	-	Myosin Light Chain Mlc1p
81757	sp	a.39.1.5	-	Baker's yeast (Saccharomyces cerevisiae)
78598	px	a.39.1.5	d1m45a_	1m45 A:
91557	px	a.39.1.5	d1n2da_	1n2d A:
91558	px	a.39.1.5	d1n2db_	1n2d B:
78599	px	a.39.1.5	d1m46a_	1m46 A:
47524	dm	a.39.1.5	-	Myosin Essential Chain
47525	sp	a.39.1.5	-	Bay scallop (Aequipecten irradians)
17302	px	a.39.1.5	d1wdcb_	1wdc B:
77430	px	a.39.1.5	d1kk8b_	1kk8 B:
96429	px	a.39.1.5	d1qviy_	1qvi Y:
17303	px	a.39.1.5	d1b7ty_	1b7t Y:
17304	px	a.39.1.5	d1scmb_	1scm B:
105955	px	a.39.1.5	d1sr6b_	1sr6 B:
105265	px	a.39.1.5	d1s5gy_	1s5g Y:
77660	px	a.39.1.5	d1l2ob_	1l2o B:
77490	px	a.39.1.5	d1kqmb_	1kqm B:
77571	px	a.39.1.5	d1kwob_	1kwo B:
17305	px	a.39.1.5	d1dfky_	1dfk Y:
77426	px	a.39.1.5	d1kk7y_	1kk7 Y:
17306	px	a.39.1.5	d1dflw_	1dfl W:
17307	px	a.39.1.5	d1dfly_	1dfl Y:
47526	sp	a.39.1.5	-	Chicken (Gallus gallus)
17308	px	a.39.1.5	d2mysb_	2mys B:
17309	px	a.39.1.5	d1br1b_	1br1 B:
17310	px	a.39.1.5	d1br1d_	1br1 D:
17311	px	a.39.1.5	d1br1f_	1br1 F:
17312	px	a.39.1.5	d1br1h_	1br1 H:
17313	px	a.39.1.5	d1br4b_	1br4 B:
17314	px	a.39.1.5	d1br4d_	1br4 D:
17315	px	a.39.1.5	d1br4f_	1br4 F:
17316	px	a.39.1.5	d1br4h_	1br4 H:
101181	sp	a.39.1.5	-	Human (Homo sapiens)
92794	px	a.39.1.5	d1oe9b_	1oe9 B:
47527	dm	a.39.1.5	-	Myosin Regulatory Chain
47528	sp	a.39.1.5	-	Bay scallop (Aequipecten irradians)
17317	px	a.39.1.5	d1wdcc_	1wdc C:
77431	px	a.39.1.5	d1kk8c_	1kk8 C:
96430	px	a.39.1.5	d1qviz_	1qvi Z:
17318	px	a.39.1.5	d1b7tz_	1b7t Z:
17319	px	a.39.1.5	d1scmc_	1scm C:
105956	px	a.39.1.5	d1sr6c_	1sr6 C:
105266	px	a.39.1.5	d1s5gz_	1s5g Z:
77661	px	a.39.1.5	d1l2oc_	1l2o C:
77491	px	a.39.1.5	d1kqmc_	1kqm C:
77572	px	a.39.1.5	d1kwoc_	1kwo C:
17320	px	a.39.1.5	d1dfkz_	1dfk Z:
77427	px	a.39.1.5	d1kk7z_	1kk7 Z:
17321	px	a.39.1.5	d1dflx_	1dfl X:
17322	px	a.39.1.5	d1dflz_	1dfl Z:
47529	sp	a.39.1.5	-	Chicken (Gallus gallus)
17323	px	a.39.1.5	d2mysc_	2mys C:
47530	dm	a.39.1.5	-	Calcineurin regulatory subunit (B-chain)
47531	sp	a.39.1.5	-	Cow (Bos taurus)
17324	px	a.39.1.5	d1tcob_	1tco B:
47532	sp	a.39.1.5	-	Human (Homo sapiens)
17325	px	a.39.1.5	d1auib_	1aui B:
78678	px	a.39.1.5	d1m63b_	1m63 B:
78681	px	a.39.1.5	d1m63f_	1m63 F:
79041	px	a.39.1.5	d1mf8b_	1mf8 B:
101182	dm	a.39.1.5	-	Calcineurin B-like protein 2
101183	sp	a.39.1.5	-	Thale cress (Arabidopsis thaliana)
99399	px	a.39.1.5	d1uhna_	1uhn A:
47533	dm	a.39.1.5	-	Recoverin
47534	sp	a.39.1.5	-	Cow (Bos taurus)
93349	px	a.39.1.5	d1omra_	1omr A:
17326	px	a.39.1.5	d1rec__	1rec -
93353	px	a.39.1.5	d1omva_	1omv A:
17327	px	a.39.1.5	d1iku__	1iku -
73781	px	a.39.1.5	d1la3a_	1la3 A:
17328	px	a.39.1.5	d1jsa__	1jsa -
101184	dm	a.39.1.5	-	Kchip1, Kv4 potassium channel-interacting protein
101185	sp	a.39.1.5	-	Rat (Rattus norvegicus)
98594	px	a.39.1.5	d1s6ca_	1s6c A:
47535	dm	a.39.1.5	-	Frequenin (neuronal calcium sensor 1)
63545	sp	a.39.1.5	-	Human (Homo sapiens)
60363	px	a.39.1.5	d1g8ia_	1g8i A:
60364	px	a.39.1.5	d1g8ib_	1g8i B:
47536	sp	a.39.1.5	-	Baker's yeast (Saccharomyces cerevisiae)
17329	px	a.39.1.5	d1fpwa_	1fpw A:
47537	dm	a.39.1.5	-	Guanylate cyclase activating protein 2, GCAP-2
47538	sp	a.39.1.5	-	Cow (Bos taurus)
17330	px	a.39.1.5	d1jbaa_	1jba A:
47539	dm	a.39.1.5	-	Neurocalcin
47540	sp	a.39.1.5	-	Cow (Bos taurus)
17331	px	a.39.1.5	d1bjfa_	1bjf A:
17332	px	a.39.1.5	d1bjfb_	1bjf B:
47541	dm	a.39.1.5	-	Calcium- and integrin-binding protein, CIB
47542	sp	a.39.1.5	-	Human (Homo sapiens)
17333	px	a.39.1.5	d1dgua_	1dgu A:
17334	px	a.39.1.5	d1dgva_	1dgv A:
109821	dm	a.39.1.5	-	Calcium-dependent protein kinase sk5 CLD
109822	sp	a.39.1.5	-	Soybean (Glycine max)
105310	px	a.39.1.5	d1s6ia_	1s6i A:
109823	dm	a.39.1.5	-	Calmodulin-related protein T21P5.17
109824	sp	a.39.1.5	-	Thale-cress (Arabidopsis thaliana)
107014	px	a.39.1.5	d1tiza_	1tiz A:
47543	fa	a.39.1.6	-	Eps15 homology domain (EH domain)
47544	dm	a.39.1.6	-	Eps15
47545	sp	a.39.1.6	-	Mouse (Mus musculus)
17335	px	a.39.1.6	d1qjta_	1qjt A:
47546	sp	a.39.1.6	-	Human (Homo sapiens)
17336	px	a.39.1.6	d1f8ha_	1f8h A:
17339	px	a.39.1.6	d1eh2__	1eh2 -
17338	px	a.39.1.6	d1ff1a_	1ff1 A:
17337	px	a.39.1.6	d1c07a_	1c07 A:
63546	dm	a.39.1.6	-	Pob1
63547	sp	a.39.1.6	-	Human (Homo sapiens)
62640	px	a.39.1.6	d1iq3a_	1iq3 A:
63548	dm	a.39.1.6	-	Reps1
63549	sp	a.39.1.6	-	Mouse (Mus musculus)
59849	px	a.39.1.6	d1fi6a_	1fi6 A:
81758	fa	a.39.1.9	-	Cbp40 (plasmodial specific CaII-binding protein LAV1-2)
81759	dm	a.39.1.9	-	Cbp40 (plasmodial specific CaII-binding protein LAV1-2)
81760	sp	a.39.1.9	-	Slime mold (Physarum polycephalum)
76748	px	a.39.1.9	d1ij5a_	1ij5 A:
76749	px	a.39.1.9	d1ij6a_	1ij6 A:
63550	fa	a.39.1.8	-	Penta-EF-hand proteins
63551	dm	a.39.1.8	-	Apoptosis-linked protein alg-2
63552	sp	a.39.1.8	-	Mouse (Mus musculus)
61160	px	a.39.1.8	d1hqva_	1hqv A:
69023	dm	a.39.1.8	-	Sorcin
69024	sp	a.39.1.8	-	Human (Homo sapiens)
67312	px	a.39.1.8	d1juoa_	1juo A:
67313	px	a.39.1.8	d1juob_	1juo B:
74723	sp	a.39.1.8	-	Chinese hamster (Cricetulus griseus)
70199	px	a.39.1.8	d1gjya_	1gjy A:
70200	px	a.39.1.8	d1gjyb_	1gjy B:
70201	px	a.39.1.8	d1gjyc_	1gjy C:
70202	px	a.39.1.8	d1gjyd_	1gjy D:
47550	dm	a.39.1.8	-	Grancalcin
47551	sp	a.39.1.8	-	Human (Homo sapiens)
68333	px	a.39.1.8	d1k94a_	1k94 A:
68334	px	a.39.1.8	d1k94b_	1k94 B:
68335	px	a.39.1.8	d1k95a_	1k95 A:
17360	px	a.39.1.8	d1f4qa_	1f4q A:
17361	px	a.39.1.8	d1f4qb_	1f4q B:
17362	px	a.39.1.8	d1f4oa_	1f4o A:
17363	px	a.39.1.8	d1f4ob_	1f4o B:
47552	dm	a.39.1.8	-	Calpain small (regulatory) subunit (domain VI)
47553	sp	a.39.1.8	-	Human (Homo sapiens)
68574	px	a.39.1.8	d1kfus_	1kfu S:
68578	px	a.39.1.8	d1kfxs_	1kfx S:
47554	sp	a.39.1.8	-	Rat (Rattus norvegicus)
92022	px	a.39.1.8	d1np8a_	1np8 A:
92023	px	a.39.1.8	d1np8b_	1np8 B:
17365	px	a.39.1.8	d1dvia_	1dvi A:
17366	px	a.39.1.8	d1dvib_	1dvi B:
17367	px	a.39.1.8	d1aj5a_	1aj5 A:
17368	px	a.39.1.8	d1aj5b_	1aj5 B:
17369	px	a.39.1.8	d1df0b_	1df0 B:
96543	px	a.39.1.8	d1qxpa1	1qxp A:710-893
96547	px	a.39.1.8	d1qxpb1	1qxp B:710-893
47555	sp	a.39.1.8	-	Pig (Sus scrofa)
17370	px	a.39.1.8	d1alva_	1alv A:
17371	px	a.39.1.8	d1alvb_	1alv B:
92279	px	a.39.1.8	d1nx1a_	1nx1 A:
92280	px	a.39.1.8	d1nx1b_	1nx1 B:
17372	px	a.39.1.8	d1alwa_	1alw A:
17373	px	a.39.1.8	d1alwb_	1alw B:
92281	px	a.39.1.8	d1nx2a_	1nx2 A:
92277	px	a.39.1.8	d1nx0a_	1nx0 A:
92278	px	a.39.1.8	d1nx0b_	1nx0 B:
92282	px	a.39.1.8	d1nx3a_	1nx3 A:
47556	dm	a.39.1.8	-	Calpain large subunit, C-terminal domain (domain IV)
47557	sp	a.39.1.8	-	Human (Homo sapiens), M-type
68571	px	a.39.1.8	d1kful1	1kfu L:515-700
68575	px	a.39.1.8	d1kfxl1	1kfx L:515-700
47558	sp	a.39.1.8	-	Rat (Rattus norvegicus), M-type
17375	px	a.39.1.8	d1df0a1	1df0 A:515-700
101186	sp	a.39.1.8	-	Rat (Rattus norvegicus), mu-type
96544	px	a.39.1.8	d1qxpa2	1qxp A:515-702
96548	px	a.39.1.8	d1qxpb2	1qxp B:515-702
47547	fa	a.39.1.7	-	EF-hand modules in multidomain proteins
47548	dm	a.39.1.7	-	Phosphoinositide-specific phospholipase C, isozyme D1 (PLC-D!)
47549	sp	a.39.1.7	-	Rat (Rattus norvegicus)
17340	px	a.39.1.7	d1qasa1	1qas A:205-298
17341	px	a.39.1.7	d1qasb1	1qas B:206-298
17346	px	a.39.1.7	d1djha1	1djh A:200-298
17347	px	a.39.1.7	d1djhb1	1djh B:158-298
17344	px	a.39.1.7	d1djwa1	1djw A:200-298
17345	px	a.39.1.7	d1djwb1	1djw B:158-298
17350	px	a.39.1.7	d1djga1	1djg A:200-298
17351	px	a.39.1.7	d1djgb1	1djg B:158-298
17348	px	a.39.1.7	d1djia1	1dji A:200-298
17349	px	a.39.1.7	d1djib1	1dji B:158-298
17352	px	a.39.1.7	d2isda1	2isd A:200-298
17353	px	a.39.1.7	d2isdb1	2isd B:158-298
17342	px	a.39.1.7	d1djxa1	1djx A:200-298
17343	px	a.39.1.7	d1djxb1	1djx B:158-298
17356	px	a.39.1.7	d1djya1	1djy A:200-298
17357	px	a.39.1.7	d1djyb1	1djy B:158-298
17358	px	a.39.1.7	d1djza1	1djz A:200-298
17359	px	a.39.1.7	d1djzb1	1djz B:158-298
17354	px	a.39.1.7	d1qata1	1qat A:206-298
17355	px	a.39.1.7	d1qatb1	1qat B:206-298
47559	dm	a.39.1.7	-	Dystrophin
47560	sp	a.39.1.7	-	Human (Homo sapiens)
17376	px	a.39.1.7	d1eg3a1	1eg3 A:85-209
17377	px	a.39.1.7	d1eg3a2	1eg3 A:210-306
17378	px	a.39.1.7	d1eg4a1	1eg4 A:85-209
17379	px	a.39.1.7	d1eg4a2	1eg4 A:210-306
47561	dm	a.39.1.7	-	Cbl
47562	sp	a.39.1.7	-	Human (Homo sapiens)
17380	px	a.39.1.7	d2cbla1	2cbl A:178-263
17381	px	a.39.1.7	d1b47a1	1b47 A:178-263
17382	px	a.39.1.7	d1b47b1	1b47 B:178-263
17383	px	a.39.1.7	d1b47c1	1b47 C:178-263
17384	px	a.39.1.7	d1fbva1	1fbv A:178-263
63553	dm	a.39.1.7	-	alpha-Actinin
63554	sp	a.39.1.7	-	Human (Homo sapiens)
60736	px	a.39.1.7	d1h8ba_	1h8b A:
109825	dm	a.39.1.7	-	Nucleobindin 1 (CALNUC)
109826	sp	a.39.1.7	-	Human (Homo sapiens)
105820	px	a.39.1.7	d1snla_	1snl A:
47565	sf	a.39.2	-	Insect pheromone/odorant-binding proteins
47566	fa	a.39.2.1	-	Insect pheromone/odorant-binding proteins
47567	dm	a.39.2.1	-	Thp12-carrier protein
47568	sp	a.39.2.1	-	Yellow mealworm (Tenebrio molitor)
17386	px	a.39.2.1	d1c3za_	1c3z A:
17387	px	a.39.2.1	d1c3ya_	1c3y A:
47569	dm	a.39.2.1	-	Moth pheromone-binding protein, PBP
47570	sp	a.39.2.1	-	Silk moth (Bombyx mori)
17388	px	a.39.2.1	d1dqea_	1dqe A:
17389	px	a.39.2.1	d1dqeb_	1dqe B:
65297	px	a.39.2.1	d1gm0a_	1gm0 A:
78176	px	a.39.2.1	d1ls8a_	1ls8 A:
101187	sp	a.39.2.1	-	Polyphemus moth (Antheraea polyphemus)
96506	px	a.39.2.1	d1qwva_	1qwv A:
101188	dm	a.39.2.1	-	Pheromone binding protein PBPLma
101189	sp	a.39.2.1	-	Madeira cockroach (Leucophaea maderae)
93911	px	a.39.2.1	d1p28a_	1p28 A:
93912	px	a.39.2.1	d1p28b_	1p28 B:
93628	px	a.39.2.1	d1ow4a_	1ow4 A:
93629	px	a.39.2.1	d1ow4b_	1ow4 B:
93453	px	a.39.2.1	d1orga_	1org A:
93454	px	a.39.2.1	d1orgb_	1org B:
101190	dm	a.39.2.1	-	Odorant binding protein LUSH
101191	sp	a.39.2.1	-	Fruit fly (Drosophila melanogaster)
93383	px	a.39.2.1	d1ooha_	1ooh A:
